PassengerId,Survived_pred,Survived_prob
892,0,0.8757763976245458
893,0,0.6069641013158678
894,0,0.7879772438022509
895,0,0.9266149054672161
896,1,0.7513156259836162
897,0,0.8553042607231855
898,1,0.6501806078022991
899,0,0.9224967854556422
900,1,0.6949238122733632
901,0,0.9378967162993082
902,0,0.9279758380620425
903,0,0.8768100603671073
904,1,0.9733511549411461
905,0,0.8934842823241502
906,1,0.9456294653504129
907,1,0.9066571818786401
908,0,0.8368484762642214
909,1,0.5819202668738288
910,1,0.5628151850781338
911,1,0.7329342825326334
912,0,0.6898519776274665
913,1,0.6256917552860718
914,1,0.9636524485075966
915,1,0.631816393576337
916,1,0.9463342220183308
917,0,0.9043919527948476
918,1,0.9803075033038652
919,1,0.5965891104685905
920,1,0.5561767279570097
921,0,0.787499289300381
922,0,0.8990138750177776
923,0,0.9156141043650794
924,1,0.5940286203337994
925,0,0.6027363351820547
926,1,0.7088055086616534
927,0,0.6913205417422982
928,0,0.8697479245100068
929,0,0.7964378237206426
930,0,0.859795968066188
931,1,0.5016835027262155
932,0,0.7651963213982118
933,1,0.5091584613601446
934,0,0.8757763976245458
935,1,0.9251671197419636
936,1,0.9456294653504129
937,0,0.8600192568859819
938,0,0.5872612591915527
939,0,0.8284157713877531
940,1,0.9670039274608179
941,1,0.7651233735440403
942,0,0.843066441459836
943,0,0.8405435339238985
944,1,0.9646750844516986
945,1,0.9090989531246534
946,0,0.6630091144567372
947,0,0.9294570946701659
948,0,0.882795296944044
949,0,0.8400645193823834
950,0,0.9023959308478168
951,1,0.9785530113626402
952,0,0.9243206731262684
953,0,0.7241713403876819
954,0,0.9006216935545822
955,1,0.7220370763932911
956,0,0.6727170035697979
957,1,0.9598575639127955
958,1,0.7687320261410544
959,0,0.8494154844316398
960,0,0.6017570334722567
961,1,0.9602873713332896
962,1,0.672907650141432
963,0,0.9298704333822364
964,1,0.5923731602181052
965,0,0.6138122126327019
966,1,0.9615015750344523
967,1,0.567500988645504
968,0,0.9152644309828186
969,1,0.9380584040626033
970,0,0.8332485025435167
971,1,0.672907650141432
972,1,0.8946037318278924
973,0,0.8045806315555096
974,0,0.8550190954510077
975,0,0.9279758380620425
976,0,0.8788278965599604
977,0,0.8423779757171632
978,1,0.8636214283884788
979,0,0.622731719757193
980,1,0.7254490421750286
981,1,0.945419718063436
982,0,0.5904214756702114
983,0,0.8249076525953053
984,1,0.9391532605962926
985,0,0.9152644309828186
986,0,0.7782586650628445
987,0,0.7378820959177302
988,1,0.9731782441143706
989,0,0.8013650150671175
990,1,0.6976477206016326
991,0,0.8341535731002471
992,1,0.9525941771813512
993,0,0.9106536016670843
994,0,0.8284157713877531
995,0,0.7203639651370004
996,0,0.634605070901447
997,0,0.9099594136216218
998,0,0.9122752885651487
999,0,0.8284157713877531
1000,0,0.9266009630104866
1001,0,0.8753508091011694
1002,0,0.8398043620557089
1003,1,0.715435444418048
1004,1,0.9682469211482839
1005,1,0.6373159119279427
1006,1,0.9778683586327734
1007,0,0.6187982631198375
1008,0,0.8788362359572154
1009,1,0.6741150985710617
1010,1,0.7512049646665038
1011,1,0.950836808034181
1012,1,0.9218996300353963
1013,0,0.8284157713877531
1014,1,0.9723515436145698
1015,0,0.9446320069867037
1016,0,0.8284157713877531
1017,1,0.8195047993963955
1018,0,0.7689406899688648
1019,1,0.8739408183265679
1020,0,0.825878685971057
1021,0,0.9140380398162953
1022,0,0.6872044658087492
1023,0,0.7427579248800098
1024,0,0.8862546979522309
1025,0,0.8788362359572154
1026,0,0.8700759268916538
1027,0,0.9223053377706312
1028,0,0.6128752047090589
1029,0,0.9060688816403575
1030,0,0.7707347234495293
1031,0,0.928944656139137
1032,0,0.9720314269370274
1033,1,0.9110705321721898
1034,0,0.7374246161417195
1035,0,0.9070873947971075
1036,1,0.5441266505968285
1037,0,0.8916550649543211
1038,0,0.8648998056260839
1039,0,0.9140380398162953
1040,1,0.5091584613601446
1041,0,0.9019155100488607
1042,1,0.9773076317080877
1043,0,0.768304573475658
1044,0,0.910110813590946
1045,1,0.7624061222052588
1046,0,0.8882734069507184
1047,0,0.8572553139448599
1048,1,0.9695335790026063
1049,1,0.7131608085106536
1050,1,0.5441266505968285
1051,0,0.6439401715589612
1052,1,0.7693912648976619
1053,1,0.8852152584340136
1054,1,0.9399426052691653
1055,0,0.8929114880846487
1056,0,0.842139868656053
1057,1,0.5216544175342788
1058,0,0.8230217763279077
1059,0,0.8833595387478074
1060,1,0.9335619693075228
1061,0,0.7964378237206426
1062,0,0.9445693595174918
1063,0,0.6752926268518824
1064,0,0.9211936832096577
1065,0,0.8572510736646888
1066,0,0.90150503394111
1067,1,0.9728447797521016
1068,1,0.9741897504624447
1069,0,0.6068282198647502
1070,1,0.9564676320362099
1071,1,0.9601183956442422
1072,0,0.8332485025435167
1073,1,0.5719465420974276
1074,1,0.9707252589123848
1075,0,0.8284157713877531
1076,1,0.9438217497897176
1077,0,0.8775287848484907
1078,1,0.9617284011989448
1079,0,0.8087857398994752
1080,0,0.9579297253311405
1081,0,0.842139868656053
1082,0,0.88326089274405
1083,0,0.8937704960241238
1084,0,0.880841471521088
1085,0,0.8606710113902875
1086,1,0.8420120387863136
1087,0,0.8757763976245458
1088,1,0.8064142118053454
1089,0,0.5071891896916858
1090,0,0.9038656599739551
1091,0,0.8770779412495421
1092,1,0.8916808057685252
1093,1,0.9355295112859727
1094,1,0.5404655074747001
1095,1,0.9647987166544061
1096,0,0.9005669934933072
1097,0,0.8055506635422882
1098,1,0.7155827560141296
1099,0,0.9038656599739551
1100,1,0.925284848891335
1101,0,0.9358156252087193
1102,0,0.8078864173569361
1103,0,0.8929114880846487
1104,0,0.9195491049387986
1105,1,0.8998341316905075
1106,0,0.5960115746622857
1107,0,0.855612262580779
1108,1,0.8551533372480639
1109,0,0.86956194288088
1110,1,0.9320077897008227
1111,0,0.9152644309828186
1112,1,0.965317909413156
1113,0,0.9030529029367849
1114,1,0.8868813739563696
1115,0,0.7614750112686888
1116,1,0.796514262665818
1117,0,0.6282433881136227
1118,0,0.7689406899688648
1119,1,0.7254490421750286
1120,0,0.8880525277817793
1121,0,0.842139868656053
1122,0,0.9074984423141974
1123,1,0.9492506207854267
1124,0,0.9196785812869849
1125,0,0.9028572161912229
1126,1,0.6979470158150654
1127,0,0.8983462198652779
1128,0,0.5835102025419826
1129,1,0.5819202668738288
1130,1,0.9004005396474767
1131,1,0.9441657367121827
1132,1,0.8454491663901958
1133,1,0.9046499152389402
1134,1,0.5545274619943233
1135,0,0.9279758380620425
1136,0,0.91947898915836
1137,0,0.758868641763554
1138,1,0.9559042644849395
